street,level,precip,Libur,day,ROAD_CLOSED
Karasak Utara 4,3,1.134,0,Wednesday,0
Karawitan,2,1.134,0,Wednesday,0
Kautamaan Istri,3,1.134,0,Wednesday,0
Kawaluyaan,3,1.134,0,Wednesday,0
Kebon Bibit,3,1.134,0,Wednesday,0
Kebon Jukut,3,1.134,0,Wednesday,0
Kebon Kawung,2,1.134,0,Wednesday,0
Kebon Kopi,2,1.134,0,Wednesday,0
Kepatihan,3,1.134,0,Wednesday,0
Kliningan,4,1.134,0,Wednesday,0
Komodor Udara Supadio,2,1.134,0,Wednesday,0
Kopo,4,1.134,0,Wednesday,0
Kopo Permai,3,1.134,0,Wednesday,0
LLRE Martadinata,3,1.134,0,Wednesday,0
Lamping,3,1.134,0,Wednesday,0
Lapang Supratman,3,1.134,0,Wednesday,0
Laswi,3,1.134,0,Wednesday,0
Lembong,3,1.134,0,Wednesday,0
Lengkong Besar,2,1.134,0,Wednesday,0
Lengkong Kecil,2,1.134,0,Wednesday,0
Leuwi Panjang,2,1.134,0,Wednesday,0
Leuwipanjang,5,1.134,0,Wednesday,1
Lodaya,2,1.134,0,Wednesday,0
Logam,4,1.134,0,Wednesday,0
Mahar Martanegara,2,1.134,0,Wednesday,0
Mahmud,3,1.134,0,Wednesday,0
Makmur,4,1.134,0,Wednesday,0
Maleber Utara,3,1.134,0,Wednesday,0
Mangga,4,1.134,0,Wednesday,0
Margacinta,3,1.134,0,Wednesday,0
Markoni,2,1.134,0,Wednesday,0
Maskumambang,3,1.134,0,Wednesday,0
Maulana Yusuf,3,1.134,0,Wednesday,0
Mekar Utama,4,1.134,0,Wednesday,0
Melong 1,4,1.134,0,Wednesday,0
Melong Raya,2,1.134,0,Wednesday,0
Melongasih,2,1.134,0,Wednesday,0
Merdeka,2,1.134,0,Wednesday,0
Merkuri Timur 8,2,1.134,0,Wednesday,0
Mohammad Ramdan,2,1.134,0,Wednesday,0
Mohammad Toha,3,1.134,0,Wednesday,0
Muara Sari 2,4,1.134,0,Wednesday,0
Mustang,4,1.134,0,Wednesday,0
N11 Flyover Cimindi,3,1.134,0,Wednesday,0
N11 Flyover Kopo-Cibaduyut,5,1.134,0,Wednesday,1
N11 Jalan Raya Cibiru,3,1.134,0,Wednesday,0
N11 Jenderal AH Nasution,4,1.134,0,Wednesday,0
N11 Jenderal Haji Amir Machmud,1,1.134,0,Wednesday,0
N11 Jenderal Sudirman,2,1.134,0,Wednesday,0
N11 Rajawali Barat,2,1.134,0,Wednesday,0
N11 Soekarno-Hatta,3,1.134,0,Wednesday,0
Naripan,3,1.134,0,Wednesday,0
Otto Iskandardinata,3,1.134,0,Wednesday,0
PHH Mustofa,2,1.134,0,Wednesday,0
PSM,3,1.134,0,Wednesday,0
Pada Lestari,4,1.134,0,Wednesday,0
Padasuka,2,1.134,0,Wednesday,0
Pagarsih,2,1.134,0,Wednesday,0
Pagermaneuh,1,1.134,0,Wednesday,0
Pahlawan,4,1.134,0,Wednesday,0
Pahlawan (Jalur Lambat),3,1.134,0,Wednesday,0
Pajajaran,2,1.134,0,Wednesday,0
Pakar Barat,1,1.134,0,Wednesday,0
Palasari,2,1.134,0,Wednesday,0
Paledang,2,1.134,0,Wednesday,0
Palem 3,4,1.134,0,Wednesday,0
Panjunan,3,1.134,0,Wednesday,0
Panumbang Jaya,2,1.134,0,Wednesday,0
Papanggungan,2,1.134,0,Wednesday,0
Parakan Saat,2,1.134,0,Wednesday,0
